Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

P2.A2      Vertical_BNC_227699-1       8600mil       5050mil       8600mil       5050mil       8600mil       5050mil  B        180.00 BNC       
P3.A1      Vertical_BNC_227699-1       7800mil       6650mil       7800mil       6650mil       7800mil       6650mil  B        180.00 BNC       
P3.A2      Vertical_BNC_227699-1       7800mil       5050mil       7800mil       5050mil       7800mil       5050mil  B        180.00 BNC       
P4.A1      Vertical_BNC_227699-1       7000mil       6650mil       7000mil       6650mil       7000mil       6650mil  B        180.00 BNC       
P4.A2      Vertical_BNC_227699-1       7000mil       5050mil       7000mil       5050mil       7000mil       5050mil  B        180.00 BNC       
P5.A1      Vertical_BNC_227699-1       9400mil       5850mil       9400mil       5850mil       9400mil       5850mil  B        180.00 BNC       
P5.A2      Vertical_BNC_227699-1       9400mil       4250mil       9400mil       4250mil       9400mil       4250mil  B        180.00 BNC       
P6.A1      Vertical_BNC_227699-1       8600mil       5850mil       8600mil       5850mil       8600mil       5850mil  B        180.00 BNC       
P6.A2      Vertical_BNC_227699-1       8600mil       4250mil       8600mil       4250mil       8600mil       4250mil  B        180.00 BNC       
P7.A1      Vertical_BNC_227699-1       7800mil       5850mil       7800mil       5850mil       7800mil       5850mil  B        180.00 BNC       
P7.A2      Vertical_BNC_227699-1       7800mil       4250mil       7800mil       4250mil       7800mil       4250mil  B        180.00 BNC       
P8.A1      Vertical_BNC_227699-1       7000mil       5850mil       7000mil       5850mil       7000mil       5850mil  B        180.00 BNC       
P8.A2      Vertical_BNC_227699-1       7000mil       4250mil       7000mil       4250mil       7000mil       4250mil  B        180.00 BNC       
C6.A1      0603             6320mil       6970mil       6320mil       6970mil       6320mil   6936.535mil  B         90.00 CAPACITOR 
C6.A2      0603             6410mil       5310mil       6410mil       5310mil       6410mil   5276.535mil  B         90.00 CAPACITOR 
C7.A1      0603             6190mil   6936.535mil       6190mil   6936.535mil       6190mil       6970mil  B        270.00 CAPACITOR 
C7.A2      0603             6190mil   5336.535mil       6190mil   5336.535mil       6190mil       5370mil  B        270.00 CAPACITOR 
C9.A1      0603         6041.535mil       6200mil   6041.535mil       6200mil       6075mil       6200mil  B        180.00 CAPACITOR 
C9.A2      0603             6020mil       4610mil       6020mil       4610mil   6053.465mil       4610mil  B        180.00 CAPACITOR 
C11.A1     0603         6253.283mil       6300mil   6253.283mil       6300mil   6219.819mil       6300mil  B        360.00 CAPACITOR 
C11.A2     0603         6253.283mil       4700mil   6253.283mil       4700mil   6219.819mil       4700mil  B        360.00 CAPACITOR 
C12.A1     0603         6046.535mil       6320mil   6046.535mil       6320mil       6080mil       6320mil  B        180.00 CAPACITOR 
C12.A2     0603         6046.535mil       4720mil   6046.535mil       4720mil       6080mil       4720mil  B        180.00 CAPACITOR 
C15.A1     0603             6190mil   5548.252mil       6190mil   5548.252mil       6190mil   5581.716mil  B        270.00 CAPACITOR 
C15.A2     0603             6190mil   3948.252mil       6190mil   3948.252mil       6190mil   3981.716mil  B        270.00 CAPACITOR 
C17.A1     0603             6270mil       6370mil       6270mil       6370mil   6236.535mil       6370mil  B        360.00 CAPACITOR 
C17.A2     0603             6275mil       4773mil       6275mil       4773mil   6241.535mil       4773mil  B        360.00 CAPACITOR 
C19.A1     0603         6409.252mil   5579.921mil   6409.252mil   5579.921mil   6409.252mil   5546.457mil  B         90.00 CAPACITOR 
C19.A2     0603         6409.252mil   3979.921mil   6409.252mil   3979.921mil   6409.252mil   3946.457mil  B         90.00 CAPACITOR 
C21.A1     0603             6270mil       6440mil       6270mil       6440mil   6236.535mil       6440mil  B        360.00 CAPACITOR 
C21.A2     0603             6270mil       4840mil       6270mil       4840mil   6236.535mil       4840mil  B        360.00 CAPACITOR 
C23        0603             4740mil   4508.252mil       4740mil   4508.252mil       4740mil   4541.716mil  B        270.00 CAPACITOR 
C24        0603             5010mil       4570mil       5010mil       4570mil       5010mil   4536.535mil  B         90.00 CAPACITOR 
C27        0603             5020mil       6120mil       5020mil       6120mil       5020mil   6153.465mil  B        270.00 CAPACITOR 
C28        0603             4740mil       6110mil       4740mil       6110mil       4740mil   6143.465mil  B        270.00 CAPACITOR 
C31        0603             4740mil   3708.252mil       4740mil   3708.252mil       4740mil   3741.716mil  B        270.00 CAPACITOR 
C32        0603             5010mil   3708.252mil       5010mil   3708.252mil       5010mil   3741.716mil  B        270.00 CAPACITOR 
C35        0603             5020mil   5381.748mil       5020mil   5381.748mil       5020mil   5348.284mil  B         90.00 CAPACITOR 
C36        0603             4730mil   5308.252mil       4730mil   5308.252mil       4730mil   5341.716mil  B        270.00 CAPACITOR 
C2         0603             5660mil       7150mil       5660mil       7150mil   5626.535mil       7150mil  B        360.00 CAPACITOR 
C3         0603         5508.252mil       3460mil   5508.252mil       3460mil   5541.716mil       3460mil  B        180.00 CAPACITOR 
C73        0402             5430mil   7121.748mil       5430mil   7121.748mil       5430mil   7096.158mil  B         90.00 CAPACITOR 
C74        0603         6118.252mil       3440mil   6118.252mil       3440mil   6151.716mil       3440mil  B        180.00 CAPACITOR 
C80        0402         5091.748mil       3460mil   5091.748mil       3460mil   5066.158mil       3460mil  B        360.00 CAPACITOR 
C37        0402             5320mil   5281.748mil       5320mil   5281.748mil       5320mil   5256.158mil  B         90.00 CAPACITOR 
C38        0402             5790mil   5271.748mil       5790mil   5271.748mil       5790mil   5246.158mil  B         90.00 CAPACITOR 
C39        0402         5811.748mil       4840mil   5811.748mil       4840mil   5786.158mil       4840mil  B        360.00 CAPACITOR 
C40        0603             5360mil       4920mil       5360mil       4920mil       5360mil   4886.535mil  B         90.00 CAPACITOR 
C41        0603             5875mil       5270mil       5875mil       5270mil       5875mil   5236.535mil  B         90.00 CAPACITOR 
C43        0402         5468.252mil       4885mil   5468.252mil       4885mil   5493.842mil       4885mil  B        180.00 CAPACITOR 
C44        0402         5426.748mil       5040mil   5426.748mil       5040mil   5401.158mil       5040mil  B        360.00 CAPACITOR 
C45        0402             5555mil       5115mil       5555mil       5115mil       5555mil   5140.591mil  B        270.00 CAPACITOR 
C48        0402             5590mil       4810mil       5590mil       4810mil       5590mil   4835.591mil  B        270.00 CAPACITOR 
C51        0603             5240mil       5090mil       5240mil       5090mil   5206.535mil       5090mil  B        360.00 CAPACITOR 
C52        0603             5275mil       4990mil       5275mil       4990mil       5275mil   4956.535mil  B         90.00 CAPACITOR 
C53        0603         5531.748mil       4720mil   5531.748mil       4720mil   5498.284mil       4720mil  B        360.00 CAPACITOR 
C55        0603         5701.748mil       4765mil   5701.748mil       4765mil   5668.284mil       4765mil  B        360.00 CAPACITOR 
C56        0402             5675mil       4845mil       5675mil       4845mil   5649.409mil       4845mil  B        360.00 CAPACITOR 
C57        0402             5780mil       5035mil       5780mil       5035mil   5754.409mil       5035mil  B        360.00 CAPACITOR 
C58        0402             5635mil       5040mil       5635mil       5040mil   5660.591mil       5040mil  B        180.00 CAPACITOR 
C59        0402             5560mil   5271.748mil       5560mil   5271.748mil       5560mil   5246.158mil  B         90.00 CAPACITOR 
C61        0603             5750mil       4920mil       5750mil       4920mil   5716.535mil       4920mil  B        360.00 CAPACITOR 
C62        0603             5755mil       5100mil       5755mil       5100mil   5721.535mil       5100mil  B        360.00 CAPACITOR 

